"fe_tsmp","msrgp_code","msr_type","tty_code","tar_msr_no","le_tsmp","adval_rate","alch_sgth","audit_tsmp","cap_ai_stmt","cap_max_pct","cmdty_msr_xhdg","comp_mthd","cpc_wvr_phb","ec_msr_set","mip_band_exch","mip_rate_exch","mip_uoq_code","nba_id","null_tri_rqd","qta_code_uk","qta_elig_use","qta_exch_rate","qta_no","qta_uoq_code","rfa","rfs_code_1","rfs_code_2","rfs_code_3","rfs_code_4","rfs_code_5","tdr_spr_sur","exports_use_ind","processed","amend_indicator","origin","ec_sctr"
"2012-07-01 00:00:00","PR","AHC",NULL,6403910518,NULL,NULL,NULL,"2012-06-21 09:02:00","null",NULL,"N","null","N","null","null","null","null","null","N","null","N","null","null","null","null","null","null","null","null","null","null",0,0,"X","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","CVD",NULL,"0201300010",NULL,NULL,NULL,"2012-06-21 09:05:00","null",NULL,"N","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","CVD",NULL,"0304991090",NULL,NULL,NULL,"2012-06-21 09:07:00","null",NULL,"N","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,"03074991",NULL,NULL,NULL,"2012-06-21 09:08:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,"03089050",NULL,NULL,NULL,"2012-06-21 09:08:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","CVD",NULL,"0305698065",NULL,NULL,NULL,"2012-06-21 09:08:00","null",NULL,"N","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","QRC",NULL,44079115,NULL,NULL,NULL,"2012-06-21 09:11:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","CVD",NULL,"0202301099",NULL,NULL,NULL,"2012-06-21 09:05:00","null",NULL,"N","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","CVD",NULL,1604129110,NULL,-1.000,NULL,"2012-06-21 09:08:00","null",NULL,"N","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","CVD",NULL,"0302900010",NULL,NULL,NULL,"2012-06-21 09:06:00","null",NULL,"N","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","CVD",NULL,"0201205091",NULL,NULL,NULL,"2012-06-21 09:05:00","null",NULL,"N","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","CVD",NULL,"0303899010",NULL,NULL,NULL,"2012-06-21 09:06:00","null",NULL,"N","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","AHC",NULL,"03048600",NULL,NULL,NULL,"2012-06-21 09:07:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"U","2012-07-02_KBT009(12184).txt","null"
"2012-07-01 00:00:00","PR","PRT",NULL,2933998067,NULL,NULL,NULL,"2012-06-21 09:10:00","null",NULL,"Y","null","N","null","null","null","null","null","Y","null","N","null","null","null","ITP BATCH INTERFACE","null","null","null","null","null","null",0,0,"I","2012-07-02_KBT009(12184).txt","null"
