"fe_tsmp","msrgp_code","msr_type","tty_code","le_tsmp","audit_tsmp","cmdty_code","cmdty_msr_xhdg","null_tri_rqd","exports_use_ind","tar_msr_no","processed","amend_indicator","origin"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:00:00","0301998560","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:01:00",24022090,"N","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","EX","EXF",611,NULL,"2012-06-21 09:01:00",24022090,"N","Y",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:01:00",3105510010,"N","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:00:00","03022130","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:01:00","07099290","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:03:00",87149210,"N","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:00:00","0304839010","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:00:00","0304899010","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:03:00",9003900010,"N","N",0,NULL,0,"I","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:01:00","04090000","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:01:00","04090000","N","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:03:00",8528598090,"N","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-27 14:35:00",3815120030,"N","N",0,NULL,0,"X","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:01:00","03074199","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:01:00","03075990","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:00:00","0304443000","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:01:00",44123190,"N","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:01:00",22051090,"N","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","EX","EXF",415,NULL,"2012-06-21 09:01:00",22051090,"N","Y",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","EX","EXF",419,NULL,"2012-06-21 09:01:00",22051090,"N","Y",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:03:00",7318141099,"N","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:03:00",8409910000,"N","N",0,NULL,0,"X","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:00:00","0302339000","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:03:00",8526912080,"N","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:01:00","08094005","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:03:00",7318141019,"N","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-29 11:06:00",69079020,"N","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:00:00","0302112000","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:01:00","0805205037","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:03:00",87120030,"N","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:01:00",2008998500,"Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:03:00",8701201000,"N","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:01:00","0307991300","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:01:00","0306111090","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:01:00","0307419900","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:02:00",6403993600,"N","N",0,NULL,0,"I","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,NULL,"2012-06-21 09:12:00",6403993600,"N","Y",0,64039936,0,"I","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:01:00","0304992320","Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","Z","B00",NULL,"2012-06-21 09:01:00",1604209040,"Y","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","VT","S","B00",NULL,"2012-06-21 09:03:00",7318157081,"N","N",0,NULL,0,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,NULL,"2012-06-21 09:02:00",6403593199,"N","N",0,6403593199,0,"X","2012-07-02_KBT009(12184).txt"
